CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
NO,Norway,NOCSR54,Troms og Finnmark,1616.692452,Regional,74.16679397,National,3810.482716,Regional,1017.167972,Dark Red,2022-03
PL,Poland,PL21,Małopolskie,1129.878326,Regional,54.08045063,Regional,2258.955929,Regional,824.3566807,Dark Red,2022-03
PL,Poland,PL22,Śląskie,1066.192079,Regional,56.82602459,Regional,2423.281629,Regional,763.2547922,Dark Red,2022-03
PL,Poland,PL41,Wielkopolskie,682.7656074,Regional,59.23032598,Regional,1804.298,Regional,480.5634599,Dark Red,2022-03
PL,Poland,PL42,Zachodniopomorskie,720.6846115,Regional,60.41851993,Regional,2189.572297,Regional,502.9711237,Dark Red,2022-03
PL,Poland,PL43,Lubuskie,478.6246606,Regional,62.07970554,Regional,1568.486865,Regional,330.0602706,Dark Red,2022-03
PL,Poland,PL51,Dolnośląskie,975.4577007,Regional,60.10529847,Regional,2143.877655,Regional,682.3068195,Dark Red,2022-03
PL,Poland,PL52,Opolskie,790.0381328,Regional,53.65042405,Regional,1927.548706,Regional,578.1087286,Dark Red,2022-03
PL,Poland,PL61,Kujawsko-pomorskie,546.8615917,Regional,56.75366265,Regional,1714.598318,Regional,391.6796003,Dark Red,2022-03
PL,Poland,PL62,Warmińsko-mazurskie,676.1789172,Regional,53.56137575,Regional,2169.204839,Regional,495.0935519,Dark Red,2022-03
PL,Poland,PL63,Pomorskie,988.0684848,Regional,61.35341852,Regional,2485.217831,Regional,684.9615884,Dark Red,2022-03
PL,Poland,PL71,Łódzkie,690.3468929,Regional,57.57942592,Regional,2185.013622,Regional,491.598004,Dark Red,2022-03
PL,Poland,PL72,Świętokrzyskie,514.5465451,Regional,51.14523735,Regional,1519.024109,Regional,382.9635192,Dark Red,2022-03
PL,Poland,PL81,Lubelskie,707.1329105,Regional,48.56595725,Regional,2136.051855,Regional,535.419977,Dark Red,2022-03
PL,Poland,PL82,Podkarpackie,914.1993056,Regional,44.65630453,Regional,2109.240484,Regional,710.0754927,Dark Red,2022-03
PL,Poland,PL84,Podlaskie,462.7676096,Regional,54.43805361,Regional,1565.005407,Regional,336.8067699,Dark Red,2022-03
PL,Poland,PL92X,Mazowiecki regionalny,1079.287052,Regional,63.16733364,Regional,2791.715944,Regional,738.4086257,Dark Red,2022-03
PT,Portugal,PTCSR01,Alentejo,3775.739784,Regional,85.25659431,Regional,19482.476,National,2166.206209,Dark Red,2022-03
PT,Portugal,PTCSR02,Algarve,4506.553286,Regional,86.71938796,Regional,19482.476,National,2552.525572,Dark Red,2022-03
PT,Portugal,PTCSR03,Região Autónoma dos Açores,3818.431935,Regional,80.93131683,Regional,19482.476,National,2273.278311,Dark Red,2022-03
PT,Portugal,PTCSR04,Centro,4766.922323,Regional,84.78702661,Regional,19482.476,National,2746.056474,Dark Red,2022-03
PT,Portugal,PTCSR05,Area Metropolitana De Lisboa,5350.800945,Regional,80.89627147,Regional,19482.476,National,3186.501716,Dark Red,2022-03
PT,Portugal,PTCSR06,Região Autónoma da Madeira,9424.040526,Regional,83.9782265,Regional,19482.476,National,5466.969477,Dark Red,2022-03
PT,Portugal,PTCSR07,Norte,6966.559115,Regional,83.84498022,Regional,19482.476,National,4046.004059,Dark Red,2022-03
RO,Romania,RO11,Nord-Vest,1334.090175,Regional,41.1680102,National,2477.567456,National,1059.480985,Dark Red,2022-03
RO,Romania,RO12,Centru,919.075559,Regional,41.1680102,National,2477.567456,National,729.8929991,Dark Red,2022-03
RO,Romania,RO21,Nord-Est,910.5854975,Regional,41.1680102,National,2477.567456,National,723.1505323,Dark Red,2022-03
RO,Romania,RO22,Sud-Est,725.7159035,Regional,41.1680102,National,2477.567456,National,576.3345049,Dark Red,2022-03
RO,Romania,RO31,Sud-Muntenia,464.0901421,Regional,41.1680102,National,2477.567456,National,368.5618035,Dark Red,2022-03
RO,Romania,RO32,Bucureşti-Ilfov,1473.340678,Regional,41.1680102,National,2477.567456,National,1170.068157,Dark Red,2022-03
RO,Romania,RO41,Sud-Vest Oltenia,370.1825107,Regional,41.1680102,National,2477.567456,National,293.9841238,Red,2022-03
RO,Romania,RO42,Vest,1233.431933,Regional,41.1680102,National,2477.567456,National,979.5422407,Dark Red,2022-03
SE,Sweden,SE11,Stockholm,4480.284854,Regional,64.23428566,Regional,4876.694841,National,3041.345368,Dark Red,2022-03
SE,Sweden,SE12,Östra Mellansverige,4262.075098,Regional,69.58917401,Regional,4876.694841,National,2779.10367,Dark Red,2022-03
SE,Sweden,SE21,Småland med öarna,3869.455298,Regional,68.99310503,Regional,4876.694841,National,2534.626619,Dark Red,2022-03
SE,Sweden,SE22,Sydsverige,3575.765578,Regional,65.72136802,Regional,4876.694841,National,2400.744551,Dark Red,2022-03
SE,Sweden,SE23,Västsverige,4377.323425,Regional,67.77610064,Regional,4876.694841,National,2893.93386,Dark Red,2022-03
